16.06.2024 11:15:22.398 [main] DEBUG  c.z.h.HikariConfig - threadFactory...................internal
16.06.2024 11:15:22.398 [main] DEBUG  c.z.h.HikariConfig - transactionIsolation............default
16.06.2024 11:15:22.398 [main] DEBUG  c.z.h.HikariConfig - username........................"postgres"
16.06.2024 11:15:22.398 [main] DEBUG  c.z.h.HikariConfig - validationTimeout...............5000
16.06.2024 11:15:22.398 [main] INFO   c.z.h.HikariDataSource - HikariPool-1 - Starting...
16.06.2024 11:15:22.414 [main] DEBUG  o.postgresql.Driver - Loading driver configuration via classloader jdk.internal.loader.ClassLoaders$AppClassLoader@659e0bfd
16.06.2024 11:15:22.415 [main] DEBUG  o.postgresql.Driver - Connecting with URL: jdbc:postgresql://localhost:5432/postgres
16.06.2024 11:15:22.422 [main] DEBUG  o.p.j.PgConnection - PostgreSQL JDBC Driver 42.6.2
16.06.2024 11:15:22.422 [main] DEBUG  o.p.j.PgConnection -   setDefaultFetchSize = 0
16.06.2024 11:15:22.422 [main] DEBUG  o.p.j.PgConnection -   setPrepareThreshold = 5
16.06.2024 11:15:22.430 [main] DEBUG  o.p.c.v.ConnectionFactoryImpl - Trying to establish a protocol version 3 connection to localhost:5432
16.06.2024 11:15:22.453 [main] DEBUG  o.p.c.v.ConnectionFactoryImpl - Receive Buffer Size is 65,536
16.06.2024 11:15:22.455 [main] DEBUG  o.p.c.v.ConnectionFactoryImpl - Send Buffer Size is 65,536
16.06.2024 11:15:22.612 [main] INFO   c.z.h.p.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@4315fe1b
16.06.2024 11:15:22.614 [main] INFO   c.z.h.HikariDataSource - HikariPool-1 - Start completed.
16.06.2024 11:15:22.639 [main] DEBUG  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
16.06.2024 11:15:22.657 [main] DEBUG  o.h.j.i.u.LogHelper - PersistenceUnitInfo [
	name: default
	persistence provider classname: null
	classloader: jdk.internal.loader.ClassLoaders$AppClassLoader@659e0bfd
	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: HikariDataSource (HikariPool-1)
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/D:/Java_projects/transferMoney/target/test-classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.ekimtsovss.transferMoney.entity.Account]
	Mapping files names []
	Properties []
16.06.2024 11:15:22.671 [main] DEBUG  o.h.i.i.IntegratorServiceImpl - Adding Integrator [org.hibernate.boot.beanvalidation.BeanValidationIntegrator].
16.06.2024 11:15:22.672 [main] DEBUG  o.h.i.i.IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
16.06.2024 11:15:22.717 [main] INFO   o.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.24.Final
16.06.2024 11:15:22.718 [main] DEBUG  o.h.cfg.Environment - HHH000206: 'hibernate.properties' not found
16.06.2024 11:15:22.719 [main] INFO   o.h.cfg.Environment - HHH000406: Using bytecode reflection optimizer
16.06.2024 11:15:22.728 [HikariPool-1 housekeeper] DEBUG  c.z.h.p.HikariPool - HikariPool-1 - Pool stats (total=1, active=0, idle=1, waiting=0)
16.06.2024 11:15:22.728 [HikariPool-1 connection adder] DEBUG  o.postgresql.Driver - Connecting with URL: jdbc:postgresql://localhost:5432/postgres
16.06.2024 11:15:22.728 [HikariPool-1 connection adder] DEBUG  o.p.j.PgConnection - PostgreSQL JDBC Driver 42.6.2
16.06.2024 11:15:22.729 [HikariPool-1 connection adder] DEBUG  o.p.j.PgConnection -   setDefaultFetchSize = 0
16.06.2024 11:15:22.729 [HikariPool-1 connection adder] DEBUG  o.p.j.PgConnection -   setPrepareThreshold = 5
16.06.2024 11:15:22.729 [HikariPool-1 connection adder] DEBUG  o.p.c.v.ConnectionFactoryImpl - Trying to establish a protocol version 3 connection to localhost:5432
16.06.2024 11:15:22.729 [HikariPool-1 connection adder] DEBUG  o.p.c.v.ConnectionFactoryImpl - Receive Buffer Size is 65,536
16.06.2024 11:15:22.729 [HikariPool-1 connection adder] DEBUG  o.p.c.v.ConnectionFactoryImpl - Send Buffer Size is 65,536
16.06.2024 11:15:22.742 [main] DEBUG  o.h.o.idgen.factory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
16.06.2024 11:15:22.742 [main] DEBUG  o.h.o.idgen.factory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
16.06.2024 11:15:22.743 [main] DEBUG  o.h.o.idgen.factory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
16.06.2024 11:15:22.743 [main] DEBUG  o.h.o.idgen.factory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
16.06.2024 11:15:22.743 [main] DEBUG  o.h.o.idgen.factory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
16.06.2024 11:15:22.744 [main] DEBUG  o.h.o.idgen.factory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
16.06.2024 11:15:22.744 [main] DEBUG  o.h.o.idgen.factory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
